value,value,date
33.584247999999995,33.584247999999995,2017-01-01 03:19:00
33.584263,33.584263,2017-01-01 03:20:00
33.584255,33.584255,2017-01-01 03:21:00
33.584221,33.584221,2017-01-01 03:22:00
33.584229,33.584229,2017-01-01 03:23:00
33.584216999999995,33.584216999999995,2017-01-01 03:24:00
33.584251,33.584251,2017-01-01 03:25:00
33.584202000000005,33.584202000000005,2017-01-01 03:26:00
33.584232,33.584232,2017-01-01 03:27:00
33.584229,33.584229,2017-01-01 03:28:00
33.584198,33.584198,2017-01-01 03:29:00
33.584194000000004,33.584194000000004,2017-01-01 03:30:00
33.58424,33.58424,2017-01-01 03:31:00
33.584263,33.584263,2017-01-01 03:32:00
33.584251,33.584251,2017-01-01 03:33:00
33.584263,33.584263,2017-01-01 03:34:00
33.584244,33.584244,2017-01-01 03:35:00
33.584232,33.584232,2017-01-01 03:36:00
33.584225,33.584225,2017-01-01 03:37:00
33.584263,33.584263,2017-01-01 03:38:00
33.584251,33.584251,2017-01-01 03:39:00
33.584274,33.584274,2017-01-01 03:40:00
33.584232,33.584232,2017-01-01 03:41:00
33.584255,33.584255,2017-01-01 03:42:00
33.584179,33.584179,2017-01-01 03:43:00
33.584247999999995,33.584247999999995,2017-01-01 03:44:00
33.584259,33.584259,2017-01-01 03:45:00
33.58424,33.58424,2017-01-01 03:46:00
33.584183,33.584183,2017-01-01 03:47:00
33.584270000000004,33.584270000000004,2017-01-01 03:48:00
33.584259,33.584259,2017-01-01 03:49:00
33.584232,33.584232,2017-01-01 03:50:00
33.584229,33.584229,2017-01-01 03:51:00
33.584247999999995,33.584247999999995,2017-01-01 03:52:00
33.584255,33.584255,2017-01-01 03:53:00
33.584209,33.584209,2017-01-01 03:54:00
33.584259,33.584259,2017-01-01 03:55:00
33.584247999999995,33.584247999999995,2017-01-01 03:56:00
33.584232,33.584232,2017-01-01 03:57:00
33.584216999999995,33.584216999999995,2017-01-01 03:58:00
33.584286,33.584286,2017-01-01 03:59:00
32.730015,32.730015,2017-01-01 04:00:00
32.72995,32.72995,2017-01-01 04:01:00
32.730007,32.730007,2017-01-01 04:02:00
32.730019,32.730019,2017-01-01 04:03:00
32.729942,32.729942,2017-01-01 04:04:00
32.730019,32.730019,2017-01-01 04:05:00
32.72998,32.72998,2017-01-01 04:06:00
32.730038,32.730038,2017-01-01 04:07:00
32.73,32.73,2017-01-01 04:08:00
32.72998,32.72998,2017-01-01 04:09:00
32.729977000000005,32.729977000000005,2017-01-01 04:10:00
32.729977000000005,32.729977000000005,2017-01-01 04:11:00
32.73,32.73,2017-01-01 04:12:00
32.729969,32.729969,2017-01-01 04:13:00
32.729973,32.729973,2017-01-01 04:14:00
32.729946000000005,32.729946000000005,2017-01-01 04:15:00
32.729988,32.729988,2017-01-01 04:16:00
32.729996,32.729996,2017-01-01 04:17:00
32.729969,32.729969,2017-01-01 04:18:00
32.730026,32.730026,2017-01-01 04:19:00
32.729939,32.729939,2017-01-01 04:20:00
32.730019,32.730019,2017-01-01 04:21:00
32.729961,32.729961,2017-01-01 04:22:00
32.729988,32.729988,2017-01-01 04:23:00
32.729939,32.729939,2017-01-01 04:24:00
32.730049,32.730049,2017-01-01 04:25:00
32.729973,32.729973,2017-01-01 04:26:00
32.729965,32.729965,2017-01-01 04:27:00
32.729984,32.729984,2017-01-01 04:28:00
32.730022,32.730022,2017-01-01 04:29:00
32.729954,32.729954,2017-01-01 04:30:00
32.729988,32.729988,2017-01-01 04:31:00
32.729961,32.729961,2017-01-01 04:32:00
32.73,32.73,2017-01-01 04:33:00
32.729961,32.729961,2017-01-01 04:34:00
32.730003,32.730003,2017-01-01 04:35:00
32.730038,32.730038,2017-01-01 04:36:00
32.730019,32.730019,2017-01-01 04:37:00
32.729954,32.729954,2017-01-01 04:38:00
32.730022,32.730022,2017-01-01 04:39:00
32.729927,32.729927,2017-01-01 04:40:00
32.730072,32.730072,2017-01-01 04:41:00
32.729973,32.729973,2017-01-01 04:42:00
32.730019,32.730019,2017-01-01 04:43:00
32.729973,32.729973,2017-01-01 04:44:00
32.73,32.73,2017-01-01 04:45:00
32.729923,32.729923,2017-01-01 04:46:00
32.730015,32.730015,2017-01-01 04:47:00
32.729996,32.729996,2017-01-01 04:48:00
32.730007,32.730007,2017-01-01 04:49:00
32.72998,32.72998,2017-01-01 04:50:00
32.729973,32.729973,2017-01-01 04:51:00
32.729927,32.729927,2017-01-01 04:52:00
32.729965,32.729965,2017-01-01 04:53:00
32.73,32.73,2017-01-01 04:54:00
32.729904,32.729904,2017-01-01 04:55:00
32.729973,32.729973,2017-01-01 04:56:00
32.72998,32.72998,2017-01-01 04:57:00
32.729996,32.729996,2017-01-01 04:58:00
32.729965,32.729965,2017-01-01 04:59:00
29.036314,29.036314,2017-01-01 05:00:00
29.036291,29.036291,2017-01-01 05:01:00
29.036263,29.036263,2017-01-01 05:02:00
29.036297,29.036297,2017-01-01 05:03:00
29.036266,29.036266,2017-01-01 05:04:00
29.036276,29.036276,2017-01-01 05:05:00
29.036293,29.036293,2017-01-01 05:06:00
29.036358,29.036358,2017-01-01 05:07:00
29.036274,29.036274,2017-01-01 05:08:00
29.036285,29.036285,2017-01-01 05:09:00
29.036278000000006,29.036278000000006,2017-01-01 05:10:00
29.036312,29.036312,2017-01-01 05:11:00
29.036285,29.036285,2017-01-01 05:12:00
29.036287,29.036287,2017-01-01 05:13:00
29.036318,29.036318,2017-01-01 05:14:00
29.036251,29.036251,2017-01-01 05:15:00
29.03628,29.03628,2017-01-01 05:16:00
29.036337,29.036337,2017-01-01 05:17:00
29.036285,29.036285,2017-01-01 05:18:00
29.036272,29.036272,2017-01-01 05:19:00
29.036297,29.036297,2017-01-01 05:20:00
29.036285,29.036285,2017-01-01 05:21:00
29.036345,29.036345,2017-01-01 05:22:00
29.036312,29.036312,2017-01-01 05:23:00
29.036354,29.036354,2017-01-01 05:24:00
29.036242,29.036242,2017-01-01 05:25:00
29.03636,29.03636,2017-01-01 05:26:00
29.036219,29.036219,2017-01-01 05:27:00
29.036373,29.036373,2017-01-01 05:28:00
29.03627,29.03627,2017-01-01 05:29:00
29.036377,29.036377,2017-01-01 05:30:00
29.036266,29.036266,2017-01-01 05:31:00
29.036306,29.036306,2017-01-01 05:32:00
29.036245,29.036245,2017-01-01 05:33:00
29.036385,29.036385,2017-01-01 05:34:00
29.036245,29.036245,2017-01-01 05:35:00
29.036293,29.036293,2017-01-01 05:36:00
29.036358,29.036358,2017-01-01 05:37:00
29.036177,29.036177,2017-01-01 05:38:00
29.036282,29.036282,2017-01-01 05:39:00
29.036314,29.036314,2017-01-01 05:40:00
29.036303000000004,29.036303000000004,2017-01-01 05:41:00
29.036272,29.036272,2017-01-01 05:42:00
29.03632,29.03632,2017-01-01 05:43:00
29.036234000000004,29.036234000000004,2017-01-01 05:44:00
29.036299,29.036299,2017-01-01 05:45:00
29.03632,29.03632,2017-01-01 05:46:00
29.036291,29.036291,2017-01-01 05:47:00
29.036322,29.036322,2017-01-01 05:48:00
29.036194,29.036194,2017-01-01 05:49:00
29.036276,29.036276,2017-01-01 05:50:00
29.036253,29.036253,2017-01-01 05:51:00
29.036299,29.036299,2017-01-01 05:52:00
29.036301,29.036301,2017-01-01 05:53:00
29.036247,29.036247,2017-01-01 05:54:00
29.036274,29.036274,2017-01-01 05:55:00
29.036314,29.036314,2017-01-01 05:56:00
29.036297,29.036297,2017-01-01 05:57:00
29.036291,29.036291,2017-01-01 05:58:00
29.036287,29.036287,2017-01-01 05:59:00
30.358088,30.358088,2017-01-01 06:00:00
30.358059,30.358059,2017-01-01 06:01:00
30.358051,30.358051,2017-01-01 06:02:00
30.358084,30.358084,2017-01-01 06:03:00
30.358063,30.358063,2017-01-01 06:04:00
30.358112,30.358112,2017-01-01 06:05:00
30.358089,30.358089,2017-01-01 06:06:00
30.358099,30.358099,2017-01-01 06:07:00
30.358091,30.358091,2017-01-01 06:08:00
30.358063,30.358063,2017-01-01 06:09:00
30.358040000000006,30.358040000000006,2017-01-01 06:10:00
30.358049,30.358049,2017-01-01 06:11:00
30.358105,30.358105,2017-01-01 06:12:00
30.358046,30.358046,2017-01-01 06:13:00
30.358076,30.358076,2017-01-01 06:14:00
30.358084,30.358084,2017-01-01 06:15:00
30.358047,30.358047,2017-01-01 06:16:00
30.358082,30.358082,2017-01-01 06:17:00
30.358076,30.358076,2017-01-01 06:18:00
30.358126,30.358126,2017-01-01 06:19:00
